;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.01.2008;169;433;452;332;236;208;302;754;1076;1235;1974;2891;3451;3791;3684;3256;2914;2418;1886;1622;1094;825;603;474
02.01.2008;357;247;229;256;407;847;2145;4433;5088;4577;5442;5580;5053;4601;4147;3772;4117;3947;3349;2357;1661;1151;814;610
03.01.2008;383;263;204;262;338;577;1535;4054;4983;2863;4694;4119;3645;3316;3293;3301;3595;3811;3332;2333;1629;1036;930;701
04.01.2008;445;261;218;260;305;537;1233;3786;4359;4165;4244;4066;3728;3797;3714;3849;3911;3999;3293;2750;1835;1234;1106;1061
05.01.2008;603;405;337;429;700;1275;2437;4275;4938;5104;5337;5418;5376;5338;5070;4832;3226;2642;2214;1602;1242;901;823;804
06.01.2008;500;361;261;226;253;319;524;1210;1583;2185;3086;4001;4194;3999;3416;2638;2377;2329;2247;1587;1233;983;766;742
07.01.2008;428;341;264;289;458;748;1517;2324;2334;2047;2115;2325;2378;2608;2610;2937;3790;4644;3970;2501;1574;1094;778;559
08.01.2008;321;227;187;246;365;592;1353;2441;2662;2635;2612;2610;2679;2752;2725;2963;3679;4408;4056;2630;1672;1163;974;653
09.01.2008;423;240;208;235;363;621;1413;2495;2864;2721;2693;2643;2721;2765;2772;3123;4017;4631;4131;2803;1808;1222;997;753
10.01.2008;437;277;209;275;404;671;1452;2535;2834;2943;2951;3045;2999;2964;2964;3394;4284;4839;4370;3083;2028;1348;1240;832
11.01.2008;493;327;249;271;400;659;1462;2763;3147;3336;3595;3530;3747;4214;4690;5201;5437;5650;5027;3862;2462;1598;1183;966
12.01.2008;664;486;358;454;675;1215;2449;3554;3846;4179;5093;4872;4690;4874;4671;3440;2676;2675;2560;1769;1292;893;789;665
13.01.2008;484;363;252;202;231;309;737;2358;2740;3059;3863;4258;3889;3591;3075;2378;2128;2151;1730;1450;1186;1021;828;727
14.01.2008;464;314;237;326;438;818;1670;2641;2759;2523;2605;2377;2403;2473;2560;2924;3741;4297;4065;2708;1610;1126;880;635
15.01.2008;333;240;201;265;389;656;1418;2486;2806;2795;2806;2586;2588;2730;2812;3169;4101;4655;4232;2858;1914;1270;1039;735
16.01.2008;435;245;222;298;431;622;1531;2571;2876;2637;2427;2528;;3019;2950;3383;4368;4871;4305;3154;1940;1358;1078;785
17.01.2008;454;184;292;280;377;532;1113;2753;2930;3056;2656;2704;2909;2998;3071;3412;4455;4925;4563;3141;2254;1556;1391;994
18.01.2008;525;348;259;297;473;701;1535;2616;2945;3143;2896;3241;3788;4429;4816;5684;5908;5987;5375;4141;2650;1686;1360;1134
19.01.2008;716;514;381;505;762;1370;2825;4142;4042;4564;5040;5016;4927;5266;5342;3827;2947;2712;2337;1728;1186;949;771;642
20.01.2008;564;394;275;216;212;306;789;2292;2385;2742;3777;4500;4638;4037;3325;2708;2332;2236;1953;1621;1336;1033;858;651
21.01.2008;503;300;259;324;540;863;1728;2702;2761;2829;2834;2613;2588;2598;2741;2949;3844;4588;4046;2605;1704;1143;898;641
22.01.2008;363;210;220;280;386;650;1360;2320;2555;2424;2333;2185;2402;2488;2769;3085;4120;4610;3948;3037;1788;1326;1062;740
23.01.2008;434;272;264;317;451;768;1615;2635;3038;3048;2985;3003;2908;2917;3202;3507;4392;5108;4504;3123;2063;1425;1131;812
24.01.2008;488;286;280;259;461;801;1677;3058;3471;3356;2872;2714;3354;3664;3347;3405;4612;5133;4792;3340;2318;1543;1245;926
