,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-01,188,427,352,258,162,138,126,63,82,119,183,303,480,589,696,724,673,688,577,463,370,330,240,137
2019-01-02,113,57,28,42,79,393,724,1009,898,833,769,880,977,1228,1314,1512,1567,1497,1220,871,635,571,617,301
2019-01-03,167,63,43,62,69,419,732,1042,1067,934,897,906,1049,1169,1285,1418,1485,1554,1375,948,638,487,382,250
2019-01-04,149,72,44,61,63,396,722,995,1049,945,789,1041,1146,1377,1373,1476,1514,1575,1325,1027,713,566,547,358
2019-01-05,274,160,101,73,61,166,201,280,511,809,666,907,1038,1131,1261,1186,1239,1271,1148,895,720,597,452,411
2019-01-06,279,239,127,96,81,95,115,94,175,278,444,530,727,895,965,926,932,937,817,656,517,551,341,175
2019-01-07,92,69,42,43,118,549,1283,1680,1490,1110,944,1001,1112,1307,1354,1507,1808,1788,1545,960,631,556,366,229
2019-01-08,74,57,29,51,105,560,1371,1609,1624,1429,1031,992,1073,1316,1344,1533,1758,1731,1533,1065,745,696,397,173
2019-01-09,92,48,41,49,111,540,1286,1669,1431,1300,1018,1006,1125,1396,1395,1584,1747,1782,1599,992,697,588,436,247
2019-01-10,144,48,35,53,111,584,1324,1747,1520,1274,1100,1039,1196,1498,1393,1621,1829,1839,1644,1082,725,641,685,276
2019-01-11,158,63,45,59,111,539,1304,1644,1496,1162,1053,1059,1221,1586,1637,1608,1709,1623,1401,1028,725,659,494,356
2019-01-12,292,160,97,68,62,177,256,365,603,784,824,1015,1074,1256,1269,1299,1253,1382,1258,1001,780,606,604,424
2019-01-13,346,237,143,83,91,106,106,84,163,350,505,577,728,851,979,868,877,946,882,862,633,459,315,188
2019-01-14,90,58,46,55,112,574,1439,1684,1548,1259,1082,996,1176,1339,1362,1618,1851,1836,1522,995,639,560,408,223
2019-01-15,100,55,37,46,108,563,1446,1763,1543,1264,1036,1031,1203,1428,1403,1701,1850,1884,1705,1170,765,567,486,241
2019-01-16,109,55,44,52,129,542,1431,1774,1536,1237,1054,1123,1251,1345,1380,1616,1960,1885,1609,1148,766,753,586,439
2019-01-17,158,64,36,63,125,566,1396,1631,1435,1343,1060,1080,1210,1450,1448,1611,1842,1866,1601,1080,770,708,560,253
2019-01-18,161,44,39,58,126,571,1353,1643,1576,1184,1040,1102,1308,1607,1636,1721,1778,1921,1652,1149,747,622,614,489
2019-01-19,320,175,94,75,77,207,291,461,617,814,872,1106,1222,1390,1408,1398,1334,1393,1353,1041,787,630,598,449
2019-01-20,383,252,152,103,94,125,119,136,203,406,615,647,795,1039,1098,1014,1013,1021,907,904,602,437,383,177
2019-01-21,88,59,30,39,104,512,1394,1709,1389,1191,1112,1125,1209,1372,1383,1601,1903,1872,1502,1013,698,576,415,212
2019-01-22,123,45,43,52,115,551,1371,1456,1486,1424,1119,1020,1207,1443,1412,1663,1879,1796,1662,1150,733,615,460,311
2019-01-23,111,75,40,45,114,522,1414,1727,1568,1243,1041,1058,1226,1487,1331,1688,1899,1895,1618,1120,756,605,555,235
2019-01-24,136,58,40,58,121,549,1377,1728,1567,1269,1047,1061,1231,1412,1406,1700,1878,1812,1633,1092,763,658,494,323
2019-01-25,138,75,43,53,114,525,1291,1637,1520,1201,1090,1099,1390,1564,1669,1673,1736,1688,1524,1092,790,669,694,574
2019-01-26,314,189,83,81,74,196,304,438,614,977,803,970,1106,1098,828,813,738,724,698,549,448,304,331,222
2019-01-27,186,127,95,38,46,74,67,60,110,214,294,361,432,552,484,451,520,530,407,377,329,246,162,112
2019-01-28,43,43,20,25,86,500,1275,1612,1528,1172,1085,1025,1207,1337,1338,1512,1638,1770,1545,960,660,566,398,207
2019-01-29,127,53,45,39,112,507,1391,1652,1539,1235,1056,1106,1201,1395,1391,1602,1760,1842,1721,1116,772,617,499,260
2019-01-30,109,50,43,47,113,526,1368,1656,1528,1254,1066,1235,1300,1366,1444,1614,1847,1816,1570,1132,793,647,471,268
2019-01-31,177,72,49,61,112,540,1357,1596,1417,1318,1055,981,1169,1351,1344,1708,1833,1806,1842,1305,854,620,494,314
2019-02-01,148,69,48,52,110,517,1270,1622,1526,1146,1166,1229,1333,1656,1683,1801,1755,1654,1571,1102,837,613,671,500
2019-02-02,317,180,112,89,80,174,327,423,733,1289,1228,1213,1271,1312,1413,1330,1342,1356,1363,1091,822,632,864,598
2019-02-03,371,256,149,109,87,135,124,123,188,376,557,702,852,847,1046,1027,903,979,843,790,682,497,395,318
2019-02-04,91,71,49,46,168,523,1316,1716,1434,1248,1036,1059,1208,1429,1379,1620,1816,1860,1576,1059,729,615,431,193
2019-02-05,92,63,35,60,105,521,1408,1632,1431,1244,1136,1107,1335,1472,1524,1853,1808,1967,1663,1165,787,666,436,227
2019-02-06,83,52,52,45,107,521,1366,1742,1435,1275,1141,1133,1254,1643,1547,1739,1856,1887,1708,1176,914,744,571,268
2019-02-07,159,72,46,55,128,538,1398,1690,1571,1176,1161,1117,1197,1359,1451,1740,1816,1810,1728,1382,936,732,548,300
2019-02-08,154,70,53,70,114,527,1275,1665,1468,1269,1111,1160,1400,1565,1744,1944,1737,1795,1646,1325,878,680,645,592
2019-02-09,285,166,102,84,87,166,282,427,640,839,945,1211,1388,1459,1484,1408,1307,1396,1306,1002,819,577,826,504
2019-02-10,390,250,175,130,97,112,108,108,174,379,531,703,870,888,1020,933,919,951,857,795,629,727,374,192
2019-02-11,89,60,39,57,105,551,1412,1701,1387,1213,1058,1071,1231,1369,1406,1575,1826,1891,1568,1084,654,612,469,194
2019-02-12,78,54,45,53,102,554,1444,1539,1527,1257,1113,1056,1275,1452,1413,1619,1873,1919,1603,1155,838,625,466,235
2019-02-13,89,61,40,54,99,524,1372,1666,1341,1280,1079,1102,1343,1507,1433,1670,1898,1921,1529,1280,847,643,480,243
2019-02-14,129,63,50,56,107,535,1370,1671,1400,1256,1199,1065,1256,1521,1533,1778,1872,1853,1660,1252,854,715,533,304
2019-02-15,185,72,56,65,118,530,1353,1597,1455,1264,1113,1206,1471,1796,1849,1663,1361,1757,1655,1412,930,814,626,471
2019-02-16,303,170,107,94,79,179,282,419,623,965,1309,1281,1495,1652,1545,1466,1384,1550,1421,1209,800,678,661,516
2019-02-17,414,279,147,105,98,118,116,120,216,379,693,904,1139,1310,1226,1201,1090,1165,975,864,621,551,458,181
2019-02-18,105,60,65,76,115,542,1444,1583,1403,1363,1325,1197,1199,1430,1593,1639,1742,1899,1610,1022,714,554,416,190
2019-02-19,90,53,48,47,121,549,1468,1598,1503,1280,1241,1085,1243,1444,1486,1595,1911,1785,1610,1094,721,604,662,351
2019-02-20,119,51,41,59,113,525,1408,1614,1451,1264,1121,1134,1330,1570,1746,1872,1974,1855,1624,1194,876,731,515,267
2019-02-21,161,65,54,59,107,560,1459,1628,1427,1308,1129,1127,1321,1498,1571,1770,1919,1915,1761,1488,875,623,494,307
2019-02-22,181,65,48,56,104,520,1341,1564,1464,1220,1339,1239,1495,1713,1762,1853,1888,1729,1691,1304,858,716,834,451
2019-02-23,299,156,102,82,78,217,406,573,822,1216,1357,1435,1556,1546,1639,1511,1528,1588,1383,1206,787,619,670,463
2019-02-24,353,247,144,101,82,120,110,130,203,442,751,976,1081,1303,1273,1150,1165,1151,1135,915,688,488,457,199
2019-02-25,77,60,44,50,97,523,1357,1485,1449,1251,1099,1162,1197,1333,1244,1525,1755,1829,1625,1088,696,575,478,185
2019-02-26,95,55,43,63,98,510,1357,1572,1448,1241,1183,1180,1212,1509,1450,1669,1874,1822,1650,1180,735,625,420,207
2019-02-27,101,41,40,58,118,537,1377,1591,1417,1372,1165,1117,1344,1484,1497,1658,1851,1862,1606,1173,788,693,471,252
2019-02-28,152,55,42,71,109,500,1430,1573,1333,1220,1225,1154,1312,1578,1863,1779,1693,1781,1699,1228,817,647,509,265
2019-03-01,158,88,57,74,126,507,1303,1578,1394,1328,1294,1252,1370,1615,1640,1631,1826,1783,1478,1248,837,631,535,418
2019-03-02,242,179,84,86,84,180,320,388,622,982,983,1267,1312,1321,1537,1347,1259,1283,1209,1009,756,530,616,458
2019-03-03,322,230,139,89,76,116,129,130,238,369,593,670,720,845,856,800,951,1125,860,706,536,477,450,178
2019-03-04,95,72,37,59,111,511,1317,1538,1379,1166,958,1039,1167,1250,1347,1478,1738,1709,1475,980,654,492,396,176
2019-03-05,131,79,41,48,111,486,1297,1517,1480,1107,970,1001,1172,1236,1244,1338,1534,1619,1387,970,655,540,378,225
2019-03-06,105,79,64,61,117,514,1333,1601,1542,1280,1116,1168,1347,1382,1388,1589,1770,1835,1572,1117,743,567,503,230
2019-03-07,150,67,48,49,109,563,1375,1607,1524,1391,1256,1221,1322,1538,1523,1605,1949,2104,1796,1354,669,587,541,330
2019-03-08,150,67,33,57,117,519,1313,1567,1496,1188,1063,1117,1479,1638,1548,1730,1743,1702,1553,1143,790,681,612,420
2019-03-09,299,165,120,93,82,198,332,438,622,809,928,1086,1324,1349,1324,1258,1419,1527,1297,1002,822,607,662,515
2019-03-10,428,262,201,122,117,126,157,111,212,370,558,703,798,906,986,986,950,974,877,805,615,481,422,215
2019-03-11,91,66,48,50,103,530,1466,1615,1512,1473,1228,1084,1243,1411,1461,1655,1747,1883,1579,1090,713,572,444,223
2019-03-12,99,52,34,53,102,509,1472,1523,1527,1379,1246,1265,1347,1567,1516,1756,1829,1886,1691,1156,738,612,473,222
2019-03-13,113,57,52,52,119,538,1472,1611,1552,1273,1103,1103,1288,1449,1426,1608,1860,1977,1626,1070,747,621,735,337
2019-03-14,105,65,36,54,101,525,1456,1602,1512,1219,1211,1141,1253,1444,1451,1745,1889,1829,1652,1291,935,749,599,298
2019-03-15,115,59,46,64,119,507,1335,1594,1585,1163,1177,1236,1406,1672,1723,1782,1779,1765,1575,1179,776,629,644,425
2019-03-16,272,182,104,75,80,191,301,402,697,924,1008,1279,1539,1553,1490,1405,1414,1499,1394,1133,812,665,687,578
2019-03-17,508,231,174,105,102,133,146,116,274,457,672,780,911,1096,1074,1000,1084,1033,899,740,681,739,465,216
2019-03-18,83,59,41,53,121,548,1389,1662,1494,1311,1120,1045,1178,1395,1471,1574,1850,1944,1557,1028,680,621,629,230
2019-03-19,114,57,38,62,117,499,1464,1624,1532,1242,1139,1096,1221,1511,1432,1633,1882,1944,1687,1156,747,653,598,317
2019-03-20,96,58,44,55,121,507,1448,1573,1518,1294,1092,1170,1322,1595,1505,1664,1963,1812,1597,1199,921,833,632,342
2019-03-21,117,48,42,60,119,567,1439,1523,1547,1327,1162,1136,1273,1492,1527,1721,1931,1835,1707,1172,829,734,605,307
2019-03-22,128,67,42,66,125,535,1371,1584,1488,1193,1082,1244,1475,1668,1670,1835,1836,1809,1542,1144,882,707,659,433
2019-03-23,284,172,82,77,81,233,326,529,744,1075,1096,1221,1389,1501,1542,1557,1580,1538,1484,1192,979,662,566,464
2019-03-24,376,254,154,116,86,138,153,170,260,549,694,878,981,1153,1214,1166,1080,1133,984,1051,615,534,445,194
2019-03-25,103,53,42,60,107,520,1440,1543,1489,1293,1147,1131,1242,1415,1415,1692,1843,1889,1507,1118,697,608,394,224
2019-03-26,82,39,43,63,125,512,1375,1599,1577,1295,1292,1122,1253,1483,1493,1724,1917,1835,1733,1221,773,657,548,231
2019-03-27,96,57,39,48,109,500,1471,1630,1557,1331,1170,1203,1292,1546,1605,1807,1962,1836,1639,1176,849,713,539,231
2019-03-28,125,68,48,62,105,549,1459,1656,1617,1435,1174,1174,1254,1579,1522,1725,1848,1846,1621,1232,887,661,581,489
2019-03-29,128,86,50,69,110,518,1372,1648,1582,1262,1185,1286,1536,1678,1843,1849,1833,1695,1604,1241,891,718,702,564
2019-03-30,321,167,111,94,78,205,323,518,772,1069,1275,1765,1537,1563,1638,1519,1355,1578,1502,1162,923,679,677,634
2019-03-31,386,297,0,158,146,129,154,149,294,505,808,1101,1264,1519,1380,1155,1063,1132,1045,923,695,594,405,219
2019-04-01,101,76,35,58,116,539,1439,1647,1644,1386,1253,1135,1362,1486,1456,1662,1844,1904,1705,1159,806,647,437,279
2019-04-02,104,52,37,50,116,522,1443,1588,1623,1320,1166,1265,1302,1489,1437,1744,1835,1942,1685,1166,772,724,741,288
2019-04-03,135,63,38,54,118,545,1393,1574,1441,1241,1155,1418,1195,1508,1367,1666,1845,1865,1597,1165,786,719,534,271
2019-04-04,130,49,46,63,120,514,1463,1652,1541,1328,1206,1185,1230,1605,1646,1719,1738,1802,1810,1219,858,680,576,299
2019-04-05,143,73,46,63,117,515,1423,1649,1580,1204,1219,1368,1628,1716,1715,1862,1807,1802,1596,1220,879,727,706,464
2019-04-06,292,149,115,98,92,233,344,528,845,1292,1353,1419,1513,1558,1635,1470,1561,1429,1373,1107,925,634,578,522
2019-04-07,400,285,178,149,119,177,181,241,333,497,776,1040,1227,1386,1362,1392,1485,1594,1504,1309,1111,742,453,203
2019-04-08,104,60,53,42,118,510,1463,1544,1511,1359,1317,1188,1355,1471,1452,1608,1877,1832,1750,1100,727,615,434,242
2019-04-09,89,65,41,54,108,529,1503,1530,1627,1278,1231,1154,1288,1490,1469,1817,1756,1642,1700,1222,777,675,503,250
2019-04-10,112,69,54,39,123,539,1451,1529,1529,1421,1249,1181,1316,1500,1559,1695,1936,1823,1560,1242,800,703,623,269
2019-04-11,116,61,40,59,120,515,1478,1515,1647,1477,1269,1267,1305,1738,1709,1785,2011,1760,1726,1243,926,761,567,357
2019-04-12,139,77,62,59,117,505,1433,1556,1522,1334,1275,1281,1572,1598,1702,1737,1895,1866,1825,1267,881,736,541,396
2019-04-13,287,152,89,78,93,217,316,416,669,882,1087,1484,1366,1476,1618,1531,1383,1492,1342,1066,832,621,814,610
2019-04-14,388,244,173,115,92,139,147,145,220,396,658,802,1061,1091,1133,1075,1027,1066,968,813,668,559,470,220
2019-04-15,100,54,41,59,107,556,1440,1557,1660,1453,1300,1215,1313,1403,1475,1711,1850,1998,1698,1114,824,643,493,262
2019-04-16,114,74,41,53,124,557,1497,1597,1648,1380,1230,1229,1415,1445,1471,1711,1972,1929,1764,1215,889,639,462,261
2019-04-17,124,64,43,53,104,539,1412,1501,1574,1451,1318,1355,1311,1770,1742,1884,2165,1977,1693,1314,882,731,525,303
2019-04-18,132,64,56,49,107,535,1380,1610,1573,1374,1344,1332,1454,1541,1412,1686,1856,1801,1630,965,932,660,605,661
2019-04-19,241,144,91,74,52,124,180,170,264,494,1074,1199,1208,1170,1186,1065,885,884,788,708,543,518,487,299
2019-04-20,194,125,71,52,69,187,271,340,547,779,996,1205,1261,1093,1269,1210,1369,1242,1135,937,591,587,492,378
2019-04-21,277,178,121,74,65,115,127,111,202,427,755,955,983,982,904,906,853,917,1099,843,603,550,450,213
2019-04-22,180,110,67,79,65,114,122,121,190,375,718,980,1120,961,1334,1353,1376,1434,1186,985,733,665,421,232
2019-04-23,129,82,41,50,120,513,1288,1482,1490,1267,1207,1130,1205,1342,1352,1489,1704,1702,1573,1090,701,596,389,219
2019-04-24,99,65,48,111,121,504,1278,1538,1413,1234,1137,1143,1205,1399,1325,1540,1818,1810,1720,1000,781,600,504,297
2019-04-25,141,91,59,51,103,523,1261,1529,1480,1347,1268,1243,1306,1386,1402,1554,1980,1825,1621,1105,918,732,568,362
2019-04-26,156,92,77,63,127,500,1249,1390,1354,1199,1078,1162,1391,1595,1697,1691,1758,1743,1602,1308,850,661,587,658
2019-04-27,430,242,125,105,77,202,286,404,618,847,1000,1153,1309,1325,1498,1297,1437,1420,1417,1018,819,525,646,558
2019-04-28,387,248,172,123,83,137,152,183,235,424,676,809,1113,1200,1105,1046,1174,1279,1284,842,731,645,443,225
2019-04-29,112,58,54,43,117,533,1387,1655,1397,1245,1201,1174,1278,1466,1500,1687,1806,1677,1628,1116,754,631,464,243
2019-04-30,116,64,36,41,109,495,1385,1593,1575,1390,1286,1232,1318,1532,1663,1877,1653,1757,1835,1311,1007,725,591,414
