cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-1,,,,,,,,,,,,,,,,,,,,,,,,
1,1017.0,588.0,433.5,559.5,742.5,1246.5,2190.0,3144.5,3386.5,3951.5,4064.0,4398.5,4787.0,4938.5,5319.5,5438.5,5545.0,5598.5,5486.5,4712.5,3742.5,2950.0,2616.0,2229.5
2,825.0,542.0,463.5,613.0,882.5,1453.0,3205.5,4999.0,5014.5,4942.5,5025.0,5249.5,5283.5,5179.0,5342.0,5326.5,5364.5,4575.0,3095.5,2246.0,1473.0,1110.5,899.5,800.0
3,1161.6666666666667,777.3333333333334,699.6666666666666,863.0,1608.0,2788.0,4024.6666666666665,5201.0,4914.333333333333,4882.666666666667,4940.333333333333,4873.333333333333,4768.0,4871.666666666667,5057.0,5095.666666666667,4811.333333333333,3769.6666666666665,3104.0,2250.0,1627.0,1118.6666666666667,904.0,873.0
4,834.0,600.0,568.0,761.0,1258.0,2354.0,3702.0,5593.0,5102.0,5052.0,5088.0,4949.0,4794.0,4676.0,4792.0,4690.0,4434.0,3181.0,2469.0,1854.0,1377.0,1017.0,889.0,715.0
5,718.5,510.5,446.0,559.5,803.0,1487.5,3088.0,4953.5,4774.5,4875.5,5285.5,5509.0,5281.5,5238.5,4814.5,4197.0,3061.0,2865.0,2828.0,1917.0,1370.0,980.5,772.0,691.5
6,603.0,405.0,337.0,429.0,700.0,1275.0,2437.0,4275.0,4938.0,5104.0,5337.0,5418.0,5376.0,5338.0,5070.0,4832.0,3226.0,2642.0,2214.0,1602.0,1242.0,901.0,823.0,804.0
7,690.0,500.0,369.5,479.5,718.5,1292.5,2637.0,3848.0,3944.0,4371.5,5066.5,4944.0,4808.5,5070.0,5006.5,3633.5,2811.5,2693.5,2448.5,1748.5,1239.0,921.0,780.0,653.5
8,775.0,486.0,421.0,458.0,620.0,993.0,2187.0,3936.0,3853.0,3957.0,4629.0,4598.0,4436.0,4133.0,3743.0,3197.0,2772.0,2555.0,2271.0,1991.0,1448.0,993.0,789.0,790.0
9,1305.0,868.0,717.75,698.25,853.0,1216.75,1936.5,2742.5,3673.0,4341.5,4886.25,4956.25,4634.25,4038.25,3625.5,3267.5,2754.5,2437.0,2117.25,1661.0,1266.5,962.75,875.0,828.0
10,812.0,598.0,517.0,558.0,812.0,1216.0,1732.0,2318.0,3608.0,5257.0,5648.0,5593.0,5159.0,4561.0,3323.0,2494.0,2460.0,2249.0,1933.0,1664.0,1340.0,1084.0,881.0,731.0
11,789.0,561.0,505.0,588.0,676.0,950.0,1359.0,2123.0,3418.0,4496.0,4462.0,4461.0,4226.0,4125.0,3491.0,2985.0,2627.0,2294.0,2138.0,1740.0,1447.0,1098.0,863.0,1163.0
12,1069.0,830.0,815.0,934.0,1258.0,1765.0,2312.0,2881.0,3699.0,3477.0,3521.0,4421.0,4263.0,4107.0,4098.0,3862.0,2905.0,2550.0,2449.0,2061.0,1508.0,1096.0,908.0,831.0
13,916.0,581.0,436.0,527.0,680.0,1319.0,2211.0,3175.0,2919.0,2995.0,3496.0,3701.0,4061.0,4465.0,4979.0,4931.0,4587.0,5005.0,3370.0,1935.0,1456.0,935.0,857.0,781.0
