,HE
2018-03-26,Osterferien
2018-03-27,Osterferien
2018-03-28,Osterferien
2018-03-29,Osterferien
2018-03-30,Osterferien
2018-03-31,Osterferien
2018-04-01,Osterferien
2018-04-02,Osterferien
2018-04-03,Osterferien
2018-04-04,Osterferien
2018-04-05,Osterferien
2018-04-06,Osterferien
2018-06-25,Sommerferien
2018-06-26,Sommerferien
2018-06-27,Sommerferien
2018-06-28,Sommerferien
2018-06-29,Sommerferien
2018-06-30,Sommerferien
2018-07-01,Sommerferien
2018-07-02,Sommerferien
2018-07-03,Sommerferien
2018-07-04,Sommerferien
2018-07-05,Sommerferien
2018-07-06,Sommerferien
2018-07-07,Sommerferien
2018-07-08,Sommerferien
2018-07-09,Sommerferien
2018-07-10,Sommerferien
2018-07-11,Sommerferien
2018-07-12,Sommerferien
2018-07-13,Sommerferien
2018-07-14,Sommerferien
2018-07-15,Sommerferien
2018-07-16,Sommerferien
2018-07-17,Sommerferien
2018-07-18,Sommerferien
2018-07-19,Sommerferien
2018-07-20,Sommerferien
2018-07-21,Sommerferien
2018-07-22,Sommerferien
2018-07-23,Sommerferien
2018-07-24,Sommerferien
2018-07-25,Sommerferien
2018-07-26,Sommerferien
2018-07-27,Sommerferien
2018-07-28,Sommerferien
2018-07-29,Sommerferien
2018-07-30,Sommerferien
2018-07-31,Sommerferien
2018-08-01,Sommerferien
2018-08-02,Sommerferien
2018-08-03,Sommerferien
2018-10-01,Herbstferien
2018-10-02,Herbstferien
2018-10-03,Herbstferien
2018-10-04,Herbstferien
2018-10-05,Herbstferien
2018-10-06,Herbstferien
2018-10-07,Herbstferien
2018-10-08,Herbstferien
2018-10-09,Herbstferien
2018-10-10,Herbstferien
2018-10-11,Herbstferien
2018-10-12,Herbstferien
2018-12-24,Weihnachtsferien
2018-12-25,Weihnachtsferien
2018-12-26,Weihnachtsferien
2018-12-27,Weihnachtsferien
2018-12-28,Weihnachtsferien
2018-12-29,Weihnachtsferien
2018-12-30,Weihnachtsferien
2018-12-31,Weihnachtsferien
