,RP
2021-03-29,Osterferien
2021-03-30,Osterferien
2021-03-31,Osterferien
2021-04-01,Osterferien
2021-04-02,Osterferien
2021-04-03,Osterferien
2021-04-04,Osterferien
2021-04-05,Osterferien
2021-04-06,Osterferien
2021-05-25,Pfingstferien
2021-05-26,Pfingstferien
2021-05-27,Pfingstferien
2021-05-28,Pfingstferien
2021-05-29,Pfingstferien
2021-05-30,Pfingstferien
2021-05-31,Pfingstferien
2021-06-01,Pfingstferien
2021-06-02,Pfingstferien
2021-07-19,Sommerferien
2021-07-20,Sommerferien
2021-07-21,Sommerferien
2021-07-22,Sommerferien
2021-07-23,Sommerferien
2021-07-24,Sommerferien
2021-07-25,Sommerferien
2021-07-26,Sommerferien
2021-07-27,Sommerferien
2021-07-28,Sommerferien
2021-07-29,Sommerferien
2021-07-30,Sommerferien
2021-07-31,Sommerferien
2021-08-01,Sommerferien
2021-08-02,Sommerferien
2021-08-03,Sommerferien
2021-08-04,Sommerferien
2021-08-05,Sommerferien
2021-08-06,Sommerferien
2021-08-07,Sommerferien
2021-08-08,Sommerferien
2021-08-09,Sommerferien
2021-08-10,Sommerferien
2021-08-11,Sommerferien
2021-08-12,Sommerferien
2021-08-13,Sommerferien
2021-08-14,Sommerferien
2021-08-15,Sommerferien
2021-08-16,Sommerferien
2021-08-17,Sommerferien
2021-08-18,Sommerferien
2021-08-19,Sommerferien
2021-08-20,Sommerferien
2021-08-21,Sommerferien
2021-08-22,Sommerferien
2021-08-23,Sommerferien
2021-08-24,Sommerferien
2021-08-25,Sommerferien
2021-08-26,Sommerferien
2021-08-27,Sommerferien
2021-10-11,Herbstferien
2021-10-12,Herbstferien
2021-10-13,Herbstferien
2021-10-14,Herbstferien
2021-10-15,Herbstferien
2021-10-16,Herbstferien
2021-10-17,Herbstferien
2021-10-18,Herbstferien
2021-10-19,Herbstferien
2021-10-20,Herbstferien
2021-10-21,Herbstferien
2021-10-22,Herbstferien
2021-12-23,Weihnachtsferien
2021-12-24,Weihnachtsferien
2021-12-25,Weihnachtsferien
2021-12-26,Weihnachtsferien
2021-12-27,Weihnachtsferien
2021-12-28,Weihnachtsferien
2021-12-29,Weihnachtsferien
2021-12-30,Weihnachtsferien
2021-12-31,Weihnachtsferien
