,NW
2023-04-03,Osterferien
2023-04-04,Osterferien
2023-04-05,Osterferien
2023-04-06,Osterferien
2023-04-07,Osterferien
2023-04-08,Osterferien
2023-04-09,Osterferien
2023-04-10,Osterferien
2023-04-11,Osterferien
2023-04-12,Osterferien
2023-04-13,Osterferien
2023-04-14,Osterferien
2023-04-15,Osterferien
2023-05-30,Pfingstferien
2023-06-22,Sommerferien
2023-06-23,Sommerferien
2023-06-24,Sommerferien
2023-06-25,Sommerferien
2023-06-26,Sommerferien
2023-06-27,Sommerferien
2023-06-28,Sommerferien
2023-06-29,Sommerferien
2023-06-30,Sommerferien
2023-07-01,Sommerferien
2023-07-02,Sommerferien
2023-07-03,Sommerferien
2023-07-04,Sommerferien
2023-07-05,Sommerferien
2023-07-06,Sommerferien
2023-07-07,Sommerferien
2023-07-08,Sommerferien
2023-07-09,Sommerferien
2023-07-10,Sommerferien
2023-07-11,Sommerferien
2023-07-12,Sommerferien
2023-07-13,Sommerferien
2023-07-14,Sommerferien
2023-07-15,Sommerferien
2023-07-16,Sommerferien
2023-07-17,Sommerferien
2023-07-18,Sommerferien
2023-07-19,Sommerferien
2023-07-20,Sommerferien
2023-07-21,Sommerferien
2023-07-22,Sommerferien
2023-07-23,Sommerferien
2023-07-24,Sommerferien
2023-07-25,Sommerferien
2023-07-26,Sommerferien
2023-07-27,Sommerferien
2023-07-28,Sommerferien
2023-07-29,Sommerferien
2023-07-30,Sommerferien
2023-07-31,Sommerferien
2023-08-01,Sommerferien
2023-08-02,Sommerferien
2023-08-03,Sommerferien
2023-08-04,Sommerferien
2023-10-02,Herbstferien
2023-10-03,Herbstferien
2023-10-04,Herbstferien
2023-10-05,Herbstferien
2023-10-06,Herbstferien
2023-10-07,Herbstferien
2023-10-08,Herbstferien
2023-10-09,Herbstferien
2023-10-10,Herbstferien
2023-10-11,Herbstferien
2023-10-12,Herbstferien
2023-10-13,Herbstferien
2023-10-14,Herbstferien
2023-12-21,Weihnachtsferien
2023-12-22,Weihnachtsferien
2023-12-23,Weihnachtsferien
2023-12-24,Weihnachtsferien
2023-12-25,Weihnachtsferien
2023-12-26,Weihnachtsferien
2023-12-27,Weihnachtsferien
2023-12-28,Weihnachtsferien
2023-12-29,Weihnachtsferien
2023-12-30,Weihnachtsferien
2023-12-31,Weihnachtsferien
