,SH
2024-04-02,Osterferien
2024-04-03,Osterferien
2024-04-04,Osterferien
2024-04-05,Osterferien
2024-04-06,Osterferien
2024-04-07,Osterferien
2024-04-08,Osterferien
2024-04-09,Osterferien
2024-04-10,Osterferien
2024-04-11,Osterferien
2024-04-12,Osterferien
2024-04-13,Osterferien
2024-04-14,Osterferien
2024-04-15,Osterferien
2024-04-16,Osterferien
2024-04-17,Osterferien
2024-04-18,Osterferien
2024-04-19,Osterferien
2024-05-10,Pfingstferien
2024-05-11,Pfingstferien
2024-07-22,Sommerferien
2024-07-23,Sommerferien
2024-07-24,Sommerferien
2024-07-25,Sommerferien
2024-07-26,Sommerferien
2024-07-27,Sommerferien
2024-07-28,Sommerferien
2024-07-29,Sommerferien
2024-07-30,Sommerferien
2024-07-31,Sommerferien
2024-08-01,Sommerferien
2024-08-02,Sommerferien
2024-08-03,Sommerferien
2024-08-04,Sommerferien
2024-08-05,Sommerferien
2024-08-06,Sommerferien
2024-08-07,Sommerferien
2024-08-08,Sommerferien
2024-08-09,Sommerferien
2024-08-10,Sommerferien
2024-08-11,Sommerferien
2024-08-12,Sommerferien
2024-08-13,Sommerferien
2024-08-14,Sommerferien
2024-08-15,Sommerferien
2024-08-16,Sommerferien
2024-08-17,Sommerferien
2024-08-18,Sommerferien
2024-08-19,Sommerferien
2024-08-20,Sommerferien
2024-08-21,Sommerferien
2024-08-22,Sommerferien
2024-08-23,Sommerferien
2024-08-24,Sommerferien
2024-08-25,Sommerferien
2024-08-26,Sommerferien
2024-08-27,Sommerferien
2024-08-28,Sommerferien
2024-08-29,Sommerferien
2024-08-30,Sommerferien
2024-08-31,Sommerferien
2024-10-04,Herbstferien
2024-10-21,Herbstferien
2024-10-22,Herbstferien
2024-10-23,Herbstferien
2024-10-24,Herbstferien
2024-10-25,Herbstferien
2024-10-26,Herbstferien
2024-10-27,Herbstferien
2024-10-28,Herbstferien
2024-10-29,Herbstferien
2024-10-30,Herbstferien
2024-10-31,Herbstferien
2024-11-01,Herbstferien
2024-12-19,Weihnachtsferien
2024-12-20,Weihnachtsferien
2024-12-21,Weihnachtsferien
2024-12-22,Weihnachtsferien
2024-12-23,Weihnachtsferien
2024-12-24,Weihnachtsferien
2024-12-25,Weihnachtsferien
2024-12-26,Weihnachtsferien
2024-12-27,Weihnachtsferien
2024-12-28,Weihnachtsferien
2024-12-29,Weihnachtsferien
2024-12-30,Weihnachtsferien
2024-12-31,Weihnachtsferien
