,SN
2024-02-12,Winterferien
2024-02-13,Winterferien
2024-02-14,Winterferien
2024-02-15,Winterferien
2024-02-16,Winterferien
2024-02-17,Winterferien
2024-02-18,Winterferien
2024-02-19,Winterferien
2024-02-20,Winterferien
2024-02-21,Winterferien
2024-02-22,Winterferien
2024-02-23,Winterferien
2024-03-28,Osterferien
2024-03-29,Osterferien
2024-03-30,Osterferien
2024-03-31,Osterferien
2024-04-01,Osterferien
2024-04-02,Osterferien
2024-04-03,Osterferien
2024-04-04,Osterferien
2024-04-05,Osterferien
2024-05-10,Pfingstferien
2024-05-18,Pfingstferien
2024-05-19,Pfingstferien
2024-05-20,Pfingstferien
2024-05-21,Pfingstferien
2024-06-20,Sommerferien
2024-06-21,Sommerferien
2024-06-22,Sommerferien
2024-06-23,Sommerferien
2024-06-24,Sommerferien
2024-06-25,Sommerferien
2024-06-26,Sommerferien
2024-06-27,Sommerferien
2024-06-28,Sommerferien
2024-06-29,Sommerferien
2024-06-30,Sommerferien
2024-07-01,Sommerferien
2024-07-02,Sommerferien
2024-07-03,Sommerferien
2024-07-04,Sommerferien
2024-07-05,Sommerferien
2024-07-06,Sommerferien
2024-07-07,Sommerferien
2024-07-08,Sommerferien
2024-07-09,Sommerferien
2024-07-10,Sommerferien
2024-07-11,Sommerferien
2024-07-12,Sommerferien
2024-07-13,Sommerferien
2024-07-14,Sommerferien
2024-07-15,Sommerferien
2024-07-16,Sommerferien
2024-07-17,Sommerferien
2024-07-18,Sommerferien
2024-07-19,Sommerferien
2024-07-20,Sommerferien
2024-07-21,Sommerferien
2024-07-22,Sommerferien
2024-07-23,Sommerferien
2024-07-24,Sommerferien
2024-07-25,Sommerferien
2024-07-26,Sommerferien
2024-07-27,Sommerferien
2024-07-28,Sommerferien
2024-07-29,Sommerferien
2024-07-30,Sommerferien
2024-07-31,Sommerferien
2024-08-01,Sommerferien
2024-08-02,Sommerferien
2024-10-07,Herbstferien
2024-10-08,Herbstferien
2024-10-09,Herbstferien
2024-10-10,Herbstferien
2024-10-11,Herbstferien
2024-10-12,Herbstferien
2024-10-13,Herbstferien
2024-10-14,Herbstferien
2024-10-15,Herbstferien
2024-10-16,Herbstferien
2024-10-17,Herbstferien
2024-10-18,Herbstferien
2024-10-19,Herbstferien
2024-12-23,Weihnachtsferien
2024-12-24,Weihnachtsferien
2024-12-25,Weihnachtsferien
2024-12-26,Weihnachtsferien
2024-12-27,Weihnachtsferien
2024-12-28,Weihnachtsferien
2024-12-29,Weihnachtsferien
2024-12-30,Weihnachtsferien
2024-12-31,Weihnachtsferien
