,BY
2025-03-03,Winterferien
2025-03-04,Winterferien
2025-03-05,Winterferien
2025-03-06,Winterferien
2025-03-07,Winterferien
2025-04-14,Osterferien
2025-04-15,Osterferien
2025-04-16,Osterferien
2025-04-17,Osterferien
2025-04-18,Osterferien
2025-04-19,Osterferien
2025-04-20,Osterferien
2025-04-21,Osterferien
2025-04-22,Osterferien
2025-04-23,Osterferien
2025-04-24,Osterferien
2025-04-25,Osterferien
2025-06-10,Pfingstferien
2025-06-11,Pfingstferien
2025-06-12,Pfingstferien
2025-06-13,Pfingstferien
2025-06-14,Pfingstferien
2025-06-15,Pfingstferien
2025-06-16,Pfingstferien
2025-06-17,Pfingstferien
2025-06-18,Pfingstferien
2025-06-19,Pfingstferien
2025-06-20,Pfingstferien
2025-08-01,Sommerferien
2025-08-02,Sommerferien
2025-08-03,Sommerferien
2025-08-04,Sommerferien
2025-08-05,Sommerferien
2025-08-06,Sommerferien
2025-08-07,Sommerferien
2025-08-08,Sommerferien
2025-08-09,Sommerferien
2025-08-10,Sommerferien
2025-08-11,Sommerferien
2025-08-12,Sommerferien
2025-08-13,Sommerferien
2025-08-14,Sommerferien
2025-08-15,Sommerferien
2025-08-16,Sommerferien
2025-08-17,Sommerferien
2025-08-18,Sommerferien
2025-08-19,Sommerferien
2025-08-20,Sommerferien
2025-08-21,Sommerferien
2025-08-22,Sommerferien
2025-08-23,Sommerferien
2025-08-24,Sommerferien
2025-08-25,Sommerferien
2025-08-26,Sommerferien
2025-08-27,Sommerferien
2025-08-28,Sommerferien
2025-08-29,Sommerferien
2025-08-30,Sommerferien
2025-08-31,Sommerferien
2025-09-01,Sommerferien
2025-09-02,Sommerferien
2025-09-03,Sommerferien
2025-09-04,Sommerferien
2025-09-05,Sommerferien
2025-09-06,Sommerferien
2025-09-07,Sommerferien
2025-09-08,Sommerferien
2025-09-09,Sommerferien
2025-09-10,Sommerferien
2025-09-11,Sommerferien
2025-09-12,Sommerferien
2025-09-13,Sommerferien
2025-09-14,Sommerferien
2025-09-15,Sommerferien
2025-11-03,Herbstferien
2025-11-04,Herbstferien
2025-11-05,Herbstferien
2025-11-06,Herbstferien
2025-11-07,Herbstferien
2025-11-19,Herbstferien
2025-12-22,Weihnachtsferien
2025-12-23,Weihnachtsferien
2025-12-24,Weihnachtsferien
2025-12-25,Weihnachtsferien
2025-12-26,Weihnachtsferien
2025-12-27,Weihnachtsferien
2025-12-28,Weihnachtsferien
2025-12-29,Weihnachtsferien
2025-12-30,Weihnachtsferien
2025-12-31,Weihnachtsferien
